,DEL,INS,OK,SUB,page_num
0,8.0,30.0,213.0,45.0,126.0
1,4.0,32.0,245.0,50.0,127.0
2,8.0,37.0,205.0,49.0,128.0
3,5.0,31.0,266.0,42.0,129.0
4,8.0,32.0,247.0,44.0,130.0
5,4.0,32.0,187.0,48.0,131.0
6,4.0,52.0,203.0,70.0,132.0
7,4.0,31.0,218.0,38.0,133.0
8,14.0,35.0,184.0,55.0,134.0
9,11.0,50.0,195.0,66.0,135.0
10,6.0,49.0,218.0,59.0,136.0
11,13.0,45.0,212.0,60.0,137.0
12,3.0,39.0,201.0,60.0,138.0
13,10.0,34.0,212.0,48.0,139.0
14,5.0,44.0,193.0,55.0,140.0
15,4.0,53.0,189.0,59.0,141.0
16,6.0,24.0,174.0,37.0,142.0
17,6.0,32.0,232.0,59.0,143.0
18,7.0,40.0,202.0,55.0,144.0
19,5.0,36.0,225.0,49.0,145.0
20,8.0,36.0,224.0,54.0,146.0
21,3.0,40.0,218.0,51.0,147.0
22,7.0,35.0,198.0,55.0,148.0
23,8.0,30.0,219.0,45.0,149.0
24,5.0,39.0,226.0,57.0,150.0
25,7.0,47.0,234.0,57.0,151.0
26,8.0,51.0,204.0,60.0,152.0
27,2.0,19.0,84.0,24.0,153.0
28,2.0,27.0,137.0,32.0,154.0
29,5.0,41.0,215.0,52.0,155.0
30,3.0,49.0,216.0,66.0,156.0
31,11.0,30.0,245.0,61.0,157.0
32,15.0,24.0,204.0,74.0,158.0
33,1.0,51.0,201.0,73.0,159.0
34,10.0,47.0,199.0,75.0,160.0
35,12.0,41.0,231.0,62.0,161.0
36,11.0,26.0,181.0,52.0,162.0
37,11.0,34.0,244.0,58.0,163.0
38,5.0,36.0,212.0,55.0,164.0
39,2.0,15.0,67.0,16.0,165.0
40,4.0,29.0,132.0,44.0,166.0
41,45.0,36.0,210.0,79.0,167.0
42,0.0,14.0,78.0,14.0,168.0
43,11.0,21.0,125.0,37.0,169.0
44,13.0,56.0,219.0,62.0,170.0
45,10.0,49.0,180.0,65.0,171.0
46,19.0,45.0,210.0,75.0,172.0
47,7.0,40.0,203.0,70.0,173.0
48,4.0,48.0,196.0,60.0,174.0
49,14.0,43.0,188.0,59.0,175.0
50,9.0,49.0,218.0,74.0,176.0
51,6.0,37.0,206.0,52.0,177.0
52,16.0,23.0,146.0,50.0,178.0
53,26.0,24.0,146.0,69.0,179.0
